country,views,engagedViews,watchTimeHours,subscribers,averageViewDuration,averageViewPercentage
IN,101413,101303,3272.37,301,116,14.57
ID,67141,65719,2867.08,120,157,19.31
VN,30515,30184,1669.05,34,199,27.52
PH,21844,21764,1072.93,25,177,21.16
BR,20396,20295,1166.15,17,206,26.3
BD,14434,14418,517.97,15,129,15.83
UZ,9875,9842,379.97,11,138,17.49
TH,8362,8362,405.02,0,174,21.96
PK,8272,8272,309.97,0,134,14.899999999999999
MX,7778,7742,427.2,10,198,25.06
MY,7200,7105,365.37,0,185,22.76
KZ,6179,6168,351.48,0,205,25.3
US,5400,5333,234.37,0,158,19.95
TR,4756,4715,226.52,0,172,20.57
IQ,4742,4725,123.65,0,94,8.98
AR,4622,4622,274.37,0,213,26.74
MM,3775,3775,133.7,0,127,15.620000000000001
DZ,3500,3488,142.75,0,147,15.83
KH,3419,3419,108.92,0,114,14.85
EG,3088,3072,80.15,0,93,9.31
KG,2969,2969,100.6,0,122,15.590000000000002
NP,2889,2889,117.45,0,146,17.88
CO,2664,2664,161.92,0,218,26.700000000000003
PE,2273,2273,133.93,0,212,27.089999999999996
UA,2267,2267,132.73,0,210,25.46
DE,2154,2154,126.18,0,210,25.7
LK,2111,2111,95.23,0,162,19.08
EC,2025,2025,126.73,0,225,27.24
JP,2001,2001,93.55,0,168,21.54
RU,1843,1843,64.12,0,125,14.14
MA,1781,1781,106.15,0,214,23.97
FR,1652,1652,104.95,0,228,27.190000000000005
PL,1618,1618,100.13,0,222,27.93
SA,1570,1564,73.9,0,170,19.54
VE,1512,1512,77.48,0,184,21.75
ZA,1496,1496,69.88,0,168,18.54
BO,1414,1414,81.32,0,207,24.87
DO,1380,1380,71.72,0,187,21.72
TW,1374,1374,66.02,0,173,22.85
PY,1312,1246,74.83,0,216,26.400000000000002
RO,1299,1299,77.4,0,214,25.58
GB,1297,1297,65.82,0,182,22.33
IT,1282,1273,73.65,0,208,25.489999999999995
SY,1261,1253,42.23,0,121,12.93
GT,1232,1232,61.18,0,178,22.16
LA,1224,1224,41.83,0,123,15.879999999999999
HN,1201,1201,67.85,0,203,24.85
KE,1192,1192,75.65,0,228,25.06
CZ,1112,1112,62.5,0,202,24.48
CL,1049,1049,61.55,0,211,26.179999999999996
ES,971,971,63.18,0,234,28.76
TJ,945,945,37.2,0,141,17.2
MN,929,929,41.58,0,161,18.62
AZ,760,760,47.25,0,223,26.63
KR,698,698,24.38,0,125,16.54
NL,605,605,29.92,0,178,21.67
HU,571,571,32.63,0,205,25.96
SN,534,534,23.05,0,155,18
CA,515,515,27.43,0,191,24.01
SV,504,504,29.33,0,209,25.58
NI,495,495,27.03,0,196,23.39
PA,482,482,25.93,0,193,23.54
AE,465,465,22.07,0,170,20.36
BG,464,464,25.63,0,198,22.3
BY,459,459,26.97,0,211,24.74
CI,442,442,14.57,0,118,13.8
JO,408,408,20.17,0,178,19.9
SO,405,405,12.52,0,111,12.42
NG,404,404,18.93,0,168,18.56
AU,399,399,22.38,0,202,25.28
TN,396,396,16.72,0,151,16.03
PT,375,375,22.42,0,215,27.46
IL,370,370,20.23,0,197,23.66
DK,365,365,21.08,0,208,24.55
LB,354,354,15.13,0,153,14.360000000000001
GE,353,353,22.95,0,234,28.33
CR,345,345,20.52,0,214,26.41
PS,345,345,7.2,0,75,6.72
LY,337,337,7.38,0,78,7.1
AM,336,336,18.7,0,200,24.24
MD,331,331,20.48,0,222,28.26
RS,329,329,19.38,0,212,25.78
BE,323,323,18.92,0,210,25.64
YE,318,318,11.63,0,131,14.000000000000002
GR,308,308,19.47,0,227,28.29
UY,290,290,17.13,0,212,26.75
ET,280,280,11.43,0,147,16.28
TL,279,279,9.17,0,118,14.35
SE,265,265,16.18,0,220,27.860000000000003
TZ,257,257,11.15,0,156,18.1
CU,243,243,11.4,0,169,19.75
SK,230,230,15.37,0,240,28.96
OM,224,224,11.27,0,181,20.74
JM,211,211,10.48,0,179,19.45
SG,211,211,9.1,0,155,19.93
AF,203,203,6.15,0,109,12.06
AL,198,198,11.72,0,213,24.92
MZ,193,193,5.6,0,104,11.77
