insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,2081,6650,191,24.71,2081
ADVERTISING,909,3690,243,33.71,909
SUBSCRIBER,10974,32391,177,19.65,10964
YT_CHANNEL,1803,2745,94,10.86,1736
YT_SEARCH,1104,2600,151,18.02,1032
RELATED_VIDEO,380323,1003836,158,19.6,380323
YT_OTHER_PAGE,12126,30077,148,17.83,12120
EXT_URL,4400,697,9,0.66,4400
PLAYLIST,291,532,109,13.819999999999999,291
NOTIFICATION,159,367,140,11.6,157
END_SCREEN,3643,21354,351,33.79,3643
SHORTS,6538,1733,31,30.44,3127
HASHTAGS,6,9,98,16.01,6
SOUND_PAGE,4,1,16,15.75,4
SHORTS_CONTENT_LINKS,6,0,8,7.429999999999999,6
