day,insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
2019-04-18,ADVERTISING,0,0,0,0.0,0
2019-04-18,END_SCREEN,0,0,0,0.0,0
2019-04-18,EXT_URL,0,0,0,0.0,0
2019-04-18,HASHTAGS,0,0,0,0.0,0
2019-04-18,NOTIFICATION,0,0,0,0.0,0
2019-04-18,NO_LINK_OTHER,0,0,0,0.0,0
2019-04-18,PLAYLIST,0,0,0,0.0,0
2019-04-18,RELATED_VIDEO,0,0,0,0.0,0
2019-04-18,SHORTS,0,0,0,0.0,0
2019-04-18,SHORTS_CONTENT_LINKS,0,0,0,0.0,0
2019-04-18,SOUND_PAGE,0,0,0,0.0,0
2019-04-18,SUBSCRIBER,0,0,0,0.0,0
2019-04-18,YT_CHANNEL,0,0,0,0.0,0
2019-04-18,YT_OTHER_PAGE,0,0,0,0.0,0
2019-04-18,YT_SEARCH,0,0,0,0.0,0
2019-04-19,ADVERTISING,0,0,0,0.0,0
2019-04-19,END_SCREEN,0,0,0,0.0,0
2019-04-19,EXT_URL,0,0,0,0.0,0
2019-04-19,HASHTAGS,0,0,0,0.0,0
2019-04-19,NOTIFICATION,0,0,0,0.0,0
2019-04-19,NO_LINK_OTHER,0,0,0,0.0,0
2019-04-19,PLAYLIST,0,0,0,0.0,0
2019-04-19,RELATED_VIDEO,0,0,0,0.0,0
2019-04-19,SHORTS,0,0,0,0.0,0
2019-04-19,SHORTS_CONTENT_LINKS,0,0,0,0.0,0
2019-04-19,SOUND_PAGE,0,0,0,0.0,0
2019-04-19,SUBSCRIBER,0,0,0,0.0,0
2019-04-19,YT_CHANNEL,0,0,0,0.0,0
2019-04-19,YT_OTHER_PAGE,0,0,0,0.0,0
2019-04-19,YT_SEARCH,0,0,0,0.0,0
2019-04-20,ADVERTISING,0,0,0,0.0,0
2019-04-20,END_SCREEN,0,0,0,0.0,0
2019-04-20,EXT_URL,0,0,0,0.0,0
2019-04-20,HASHTAGS,0,0,0,0.0,0
2019-04-20,NOTIFICATION,0,0,0,0.0,0
2019-04-20,NO_LINK_OTHER,0,0,0,0.0,0
2019-04-20,PLAYLIST,0,0,0,0.0,0
2019-04-20,RELATED_VIDEO,0,0,0,0.0,0
2019-04-20,SHORTS,0,0,0,0.0,0
2019-04-20,SHORTS_CONTENT_LINKS,0,0,0,0.0,0
2019-04-20,SOUND_PAGE,0,0,0,0.0,0
2019-04-20,SUBSCRIBER,0,0,0,0.0,0
2019-04-20,YT_CHANNEL,0,0,0,0.0,0
2019-04-20,YT_OTHER_PAGE,0,0,0,0.0,0
2019-04-20,YT_SEARCH,0,0,0,0.0,0
2019-04-21,ADVERTISING,0,0,0,0.0,0
2019-04-21,END_SCREEN,0,0,0,0.0,0
2019-04-21,EXT_URL,0,0,0,0.0,0
2019-04-21,HASHTAGS,0,0,0,0.0,0
2019-04-21,NOTIFICATION,0,0,0,0.0,0
2019-04-21,NO_LINK_OTHER,0,0,0,0.0,0
2019-04-21,PLAYLIST,0,0,0,0.0,0
2019-04-21,RELATED_VIDEO,0,0,0,0.0,0
2019-04-21,SHORTS,0,0,0,0.0,0
2019-04-21,SHORTS_CONTENT_LINKS,0,0,0,0.0,0
2019-04-21,SOUND_PAGE,0,0,0,0.0,0
2019-04-21,SUBSCRIBER,0,0,0,0.0,0
2019-04-21,YT_CHANNEL,0,0,0,0.0,0
2019-04-21,YT_OTHER_PAGE,0,0,0,0.0,0
2019-04-21,YT_SEARCH,0,0,0,0.0,0
2019-04-22,ADVERTISING,0,0,0,0.0,0
2019-04-22,END_SCREEN,0,0,0,0.0,0
2019-04-22,EXT_URL,0,0,0,0.0,0
2019-04-22,HASHTAGS,0,0,0,0.0,0
2019-04-22,NOTIFICATION,0,0,0,0.0,0
2019-04-22,NO_LINK_OTHER,0,0,0,0.0,0
2019-04-22,PLAYLIST,0,0,0,0.0,0
2019-04-22,RELATED_VIDEO,0,0,0,0.0,0
2019-04-22,SHORTS,0,0,0,0.0,0
2019-04-22,SHORTS_CONTENT_LINKS,0,0,0,0.0,0
2019-04-22,SOUND_PAGE,0,0,0,0.0,0
2019-04-22,SUBSCRIBER,0,0,0,0.0,0
2019-04-22,YT_CHANNEL,0,0,0,0.0,0
2019-04-22,YT_OTHER_PAGE,0,0,0,0.0,0
2019-04-22,YT_SEARCH,0,0,0,0.0,0
2019-04-23,ADVERTISING,0,0,0,0.0,0
2019-04-23,END_SCREEN,0,0,0,0.0,0
2019-04-23,EXT_URL,0,0,0,0.0,0
2019-04-23,HASHTAGS,0,0,0,0.0,0
2019-04-23,NOTIFICATION,0,0,0,0.0,0
2019-04-23,NO_LINK_OTHER,0,0,0,0.0,0
2019-04-23,PLAYLIST,0,0,0,0.0,0
2019-04-23,RELATED_VIDEO,0,0,0,0.0,0
2019-04-23,SHORTS,0,0,0,0.0,0
2019-04-23,SHORTS_CONTENT_LINKS,0,0,0,0.0,0
2019-04-23,SOUND_PAGE,0,0,0,0.0,0
2019-04-23,SUBSCRIBER,0,0,0,0.0,0
2019-04-23,YT_CHANNEL,0,0,0,0.0,0
2019-04-23,YT_OTHER_PAGE,0,0,0,0.0,0
2019-04-23,YT_SEARCH,0,0,0,0.0,0
2019-04-24,ADVERTISING,0,0,0,0.0,0
2019-04-24,END_SCREEN,0,0,0,0.0,0
2019-04-24,EXT_URL,0,0,0,0.0,0
2019-04-24,HASHTAGS,0,0,0,0.0,0
2019-04-24,NOTIFICATION,0,0,0,0.0,0
2019-04-24,NO_LINK_OTHER,0,0,0,0.0,0
2019-04-24,PLAYLIST,0,0,0,0.0,0
2019-04-24,RELATED_VIDEO,0,0,0,0.0,0
2019-04-24,SHORTS,0,0,0,0.0,0
