country,views,engagedViews,watchTimeHours,subscribers,averageViewDuration,averageViewPercentage
IN,385861,385861,15917.23,-3521,148,4.1
ID,92452,92452,4828.08,-235,188,6.58
BD,86952,86952,3689.83,32,152,6.22
VN,64565,64565,3059.35,0,170,5.53
KH,41142,41142,1657.67,0,145,8.56
PH,27571,27571,1552.13,0,202,7.780000000000001
PK,21986,21986,1049.12,-16,171,2.86
TH,21013,21013,1101.48,0,188,7.5
NP,16021,16021,749.85,0,168,6.45
BR,12921,12921,1086.08,-23,302,5.06
LA,10360,10360,435.83,0,151,13.98
MM,8185,8185,330.75,0,145,6.41
EG,6852,6852,318.68,0,167,7.470000000000001
LK,6474,6474,325.0,0,180,5.92
IQ,6410,6410,275.93,0,154,4.24
MY,5509,5509,338.62,0,221,4.29
UZ,5430,5430,225.93,0,149,2.64
TR,5175,5175,304.75,0,212,3.2199999999999998
US,5141,5141,396.82,0,277,3.08
DZ,3676,3676,167.8,0,164,3.1400000000000006
RU,3623,3623,195.4,0,194,1.7500000000000002
MX,2031,2031,155.83,0,276,5.23
SY,1670,1670,70.6,0,152,4.25
JP,1221,1221,127.1,0,374,0.9000000000000001
AR,1143,1143,86.97,0,273,3.4300000000000006
KZ,912,912,69.93,0,276,2.2
DE,711,711,56.15,0,284,2.67
GB,635,635,21.15,0,119,0.42
KG,508,508,25.78,0,182,2.13
MA,445,445,23.57,0,190,2.03
CO,438,438,27.03,0,222,2.37
SA,383,383,25.02,0,235,1.15
TW,374,374,18.68,0,179,1.28
EC,290,290,22.25,0,276,2.08
IT,281,281,17.87,0,229,1.36
PE,257,257,19.08,0,267,2.18
DO,214,214,9.88,0,166,73.9
GT,196,196,9.55,0,175,1.52
RO,188,188,14.63,0,280,2.66
UA,183,183,14.67,0,288,207.52
BO,163,163,11.05,0,244,6.99
PL,154,154,21.35,0,499,199.49
FR,149,149,8.67,0,209,0.62
HN,111,111,9.13,0,296,191.35
ZA,111,111,5.42,0,175,0.42
PY,99,99,5.37,0,195,0
CA,98,98,11.88,0,437,2.33
VE,86,86,6.2,0,259,0
TL,82,82,3.75,0,164,28.7
KE,73,73,4.48,0,221,5.08
ES,70,70,6.2,0,318,0
TJ,68,68,2.1,0,111,59.72
PS,67,67,2.42,0,130,27.29
SN,64,64,2.45,0,138,5.73
KR,63,63,4.45,0,254,0.37
NA,61,61,2.33,0,138,20.08
LB,59,59,2.6,0,158,36.29
JO,57,57,2.18,0,137,5.12
TN,53,53,2.1,0,142,33.52
MN,52,52,2.68,0,186,0.39
AZ,44,44,1.7,0,140,0.74
CL,43,43,3.08,0,258,0
YE,40,40,1.33,0,120,19.08
ZM,38,38,1.87,0,178,28.17
IL,37,37,4.17,0,405,2.62
AE,36,36,6.4,0,641,0.59
BT,33,33,2.5,0,273,45.81
AM,32,32,1.57,0,176,0
SG,32,32,0.58,0,67,10.39
HU,24,24,7.47,0,1120,0
MV,23,23,0.15,0,25,2.39
NL,23,23,4.42,0,692,0
CZ,21,21,2.13,0,367,0
ET,21,21,1.03,0,179,0
LY,21,21,1.05,0,180,65.99
AU,11,11,0.67,0,219,31.840000000000003
DM,11,11,0.27,0,91,14.2
AL,10,10,0.08,0,35,0
PA,10,10,0.9,0,324,0
PT,10,10,0.28,0,107,0
SV,10,10,0.77,0,279,0
