country,views,engagedViews,watchTimeHours,subscribers,averageViewDuration,averageViewPercentage
IN,96010,96010,3789.53,-2299,142,24.48
ID,28448,28448,1375.88,-254,174,29.69
BD,26360,26360,981.15,1,133,23.14
VN,16282,16282,636.53,0,140,24.4
KH,9452,9452,351.87,0,134,23.26
TH,5859,5859,252.68,0,155,26.919999999999998
PH,4676,4676,213.48,0,164,28.139999999999997
PK,3942,3942,177.75,-16,162,28.059999999999995
EG,3939,3939,179.52,0,164,28.470000000000002
NP,2366,2366,91.88,0,139,23.96
LA,2331,2331,86.73,0,133,23.22
IQ,2297,2297,99.97,0,156,27.310000000000002
MM,2256,2256,84.27,0,134,23.41
LK,1832,1832,94.47,0,185,32.4
TR,1696,1696,87.72,0,186,32.49
MY,1417,1417,62.35,0,158,27.48
BR,1317,1317,56.9,-21,155,27.089999999999996
DZ,1251,1251,50.5,0,145,25.28
UZ,1230,1230,49.52,0,144,25.2
SY,997,997,42.87,0,154,27.02
US,288,288,12.3,0,153,23.25
MX,271,271,13.52,0,179,31.35
MA,240,240,10.1,0,151,16.72
DE,183,183,7.98,0,157,27.43
TW,129,129,5.92,0,165,28.82
RU,120,120,5.17,0,155,27.11
CO,80,80,3.87,0,174,30.490000000000002
KG,76,76,3.42,0,162,28.38
DO,74,74,3.2,0,155,27.190000000000005
RO,70,70,2.75,0,142,24.8
KZ,69,69,3.47,0,181,31.42
SA,65,65,3.2,0,178,31.08
TL,59,59,2.63,0,160,28.050000000000004
PS,56,56,2.18,0,140,24.5
PL,54,54,2.3,0,153,26.839999999999996
AR,48,48,1.95,0,147,25.72
GB,46,46,0.05,0,3,0.31
FR,34,34,1.37,0,145,25.34
TN,28,28,0.93,0,120,21.05
BO,24,24,0.73,0,111,19.45
JP,24,24,0.75,0,114,19.91
LB,23,23,1.02,0,160,27.949999999999996
SN,22,22,1.15,0,188,31.78
JO,21,21,0.65,0,112,19.6
HN,17,17,0.58,0,124,21.76
PE,14,14,0.72,0,185,32.3
UA,14,14,0.53,0,138,24.19
IL,13,13,0.55,0,154,27
TJ,11,11,0.47,0,155,27.07
AZ,10,10,0.47,0,170,29.799999999999997
IT,10,10,0.47,0,169,29.600000000000005
LY,10,10,0.23,0,85,14.92
SG,10,10,0.58,0,213,37.2
ZA,10,10,0.58,0,212,37.11
