country,views,engagedViews,watchTimeHours,subscribers,averageViewDuration,averageViewPercentage
IN,290505209,290505209,12985994.27,505914,160,29.410000000000004
ID,78906153,78906153,4639584.92,189353,211,40.24
VN,27214467,27214467,2208342.33,24181,292,71.82
US,25601836,25601836,1555519.62,12892,218,44.19
BD,23552045,23552045,1070435.2,29116,163,31.929999999999996
PK,22023884,22023884,899296.38,32946,146,26.32
BR,20765741,20765741,1618348.07,46308,280,62.86000000000001
PH,14434963,14434963,822908.37,14348,205,43.17
EG,12832454,12832454,543787.37,15633,152,28.449999999999996
IQ,12615234,12615234,472563.62,20429,134,26.400000000000002
TR,11039324,11039324,542891.53,11135,177,35.23
TH,10316253,10316253,712697.47,10825,248,63.17
RU,9877913,9877913,558604.7,14711,203,40.94
MX,9687229,9687229,691213.12,13573,256,57.13
MY,6110833,6110833,346317.07,4316,204,43.84
NP,5960228,5960228,296326.67,7312,178,37
KH,5613014,5613014,244240.35,4349,156,37.64
GB,5597734,5597734,303850.43,-1469,195,37.56
AR,5161809,5161809,390113.13,6310,272,60.07
DZ,4644634,4644634,222254.45,5710,172,32.52
JP,4128373,4128373,192134.53,994,167,31.8
SA,3990880,3990880,190842.1,2297,172,34.78
FR,3522436,3522436,214095.6,2239,218,42.13
IT,3428960,3428960,174633.05,1944,183,36.08
CO,3313194,3313194,232194.3,3740,252,56.00000000000001
LK,3219422,3219422,145551.82,3279,162,32.11
DE,3008100,3008100,213481.8,1615,255,52.71
KZ,2963120,2963120,187862.73,5085,228,51.04
UZ,2814412,2814412,139202.9,2011,178,39.41
MA,2638532,2638532,137307.55,3079,187,36.89
ES,2622012,2622012,161551.77,1419,221,43.88
UA,2606013,2606013,158482.1,2720,218,46.13
CA,2403996,2403996,141728.97,463,212,42.87
PE,2273461,2273461,164936.87,2126,261,60.9
PL,2242740,2242740,139604.22,1497,224,45.54
EC,2177155,2177155,181483.42,2305,300,75.66
KR,2010363,2010363,84191.42,746,150,28.689999999999998
RO,1861262,1861262,115930.37,1110,224,46.55
MM,1780527,1780527,85503.33,1233,172,39.78
LA,1668474,1668474,72760.88,1166,156,42.66
AZ,1656086,1656086,87983.93,961,191,38.24
CL,1637249,1637249,117877.12,1489,259,58.93000000000001
AU,1576159,1576159,92767.38,306,211,41.7
JO,1575910,1575910,64675.08,803,147,28.76
DO,1562096,1562096,96521.55,1772,222,52.28
SY,1408600,1408600,63807.15,1105,163,34.02
KG,1408143,1408143,64485.22,1460,164,36.74
ZA,1184332,1184332,72896.65,493,221,42.65
IL,1169981,1169981,63387.45,559,195,38.02
LB,1151429,1151429,46621.03,1077,145,27.79
PS,1105394,1105394,48585.58,466,158,32.14
AE,1075208,1075208,58760.8,284,196,39.17
NL,1039044,1039044,62813.03,193,217,42.83
KE,959626,959626,63576.67,446,238,50.029999999999994
TW,954011,954011,61633.27,168,232,51.33
GT,947931,947931,59104.52,563,224,54.1
VE,936850,936850,66722.95,874,256,53.5
TN,917868,917868,42619.63,698,167,33
HN,917241,917241,58682.58,789,230,59.25
BO,908240,908240,61570.73,530,244,61.75999999999999
GR,892705,892705,51640.57,158,208,40.65
GE,847746,847746,64947.28,456,275,57.72999999999999
SE,817083,817083,50338.55,100,221,44.57
AM,784964,784964,42325.03,352,194,38.44
CZ,773452,773452,60817.43,87,283,60.15999999999999
HU,743452,743452,54643.82,335,264,54.79999999999999
RS,682366,682366,37922.85,110,200,40.84
BE,676660,676660,41917.33,234,223,43.79
BY,654731,654731,37809.38,267,207,42.74
PY,643337,643337,46059.88,360,257,65.53
BG,633901,633901,36083.5,202,204,42.46
SN,610394,610394,28747.43,470,169,31.679999999999996
PT,599875,599875,36183.25,245,217,43.78
AL,583635,583635,29642.03,165,182,38.55
LY,568916,568916,22982.48,123,145,28.79
OM,538693,538693,27299.63,94,182,37.39
MN,519628,519628,24650.87,296,170,38.76
IE,501482,501482,24699.35,44,177,34.92
SV,476735,476735,29747.62,206,224,54.2
JM,461085,461085,27900.57,200,217,51.16
HK,452192,452192,20172.47,11,160,31.64
PA,443382,443382,27117.7,112,220,53.459999999999994
SK,437205,437205,33987.55,61,279,59.89
KW,434870,434870,20510.72,133,169,32.92
SG,432538,432538,21582.52,0,179,37.25
CR,410663,410663,29654.75,229,259,60.75000000000001
MD,410325,410325,23895.75,130,209,45.11
YE,364422,364422,16809.53,21,166,30.210000000000004
UY,348927,348927,24670.13,183,254,56.7
AT,345355,345355,25286.08,72,263,55.08
ET,334323,334323,17500.95,10,188,42.51
NZ,324908,324908,19794.0,74,219,45.19
NI,315500,315500,16913.95,69,192,48.24
HR,308523,308523,19708.6,67,229,47.46
BA,303308,303308,17533.3,79,208,42.64
CH,301781,301781,23610.33,33,281,60
SO,297834,297834,10450.9,34,126,28.1
TT,291958,291958,16468.22,80,203,48.5
NO,289379,289379,19174.55,0,238,49.95
QA,288733,288733,14366.68,20,179,34.4
DK,278919,278919,20726.13,0,267,58.75
SD,244557,244557,9594.6,21,141,29.549999999999997
MK,234886,234886,15059.85,67,230,46.9
LT,226997,226997,14626.3,37,231,48.9
FI,217641,217641,15781.5,22,261,53.26
PR,216682,216682,13610.02,23,226,46.79
TJ,214718,214718,9904.97,12,166,38.74
TZ,212549,212549,10491.62,0,177,35.11
MU,194458,194458,11561.78,16,214,44.49
LV,177484,177484,11398.92,13,231,46.85
NG,176911,176911,8950.28,53,182,35.74
TL,173406,173406,8022.48,0,166,36.14
CI,173365,173365,8061.57,0,167,31.75
AF,155972,155972,6300.35,10,145,26.810000000000002
BH,155482,155482,7425.43,22,171,33.39
GY,143738,143738,8274.17,10,207,49.36
FJ,134891,134891,6841.85,0,182,35.93
GH,123222,123222,6655.93,0,194,38.24
BT,116947,116947,5511.02,0,169,33.59
RE,116883,116883,6454.9,12,198,39.36
CY,113028,113028,6709.63,20,213,43.02
SI,110515,110515,8949.32,0,291,64.01
NA,106916,106916,6214.22,0,209,39.78
AO,101398,101398,5592.67,35,198,37.55
SR,99626,99626,5992.32,0,216,52.95000000000001
MV,91817,91817,4555.03,0,178,37.41
ME,90277,90277,4572.9,0,182,35.78
ZM,86100,86100,4321.37,0,180,37.55
HT,85848,85848,4337.75,0,181,50.77
ML,81325,81325,3865.37,0,171,34.6
GA,78046,78046,4360.83,0,201,39.99
EE,73689,73689,6469.57,0,316,68.17
BN,72625,72625,3991.9,0,197,42.13
BZ,70999,70999,4715.72,0,239,68.69
UG,62533,62533,3595.42,0,206,42.51
MZ,62500,62500,3171.02,0,182,36.64
MT,53455,53455,2394.42,0,161,30.8
RW,52484,52484,2388.78,0,163,35.39
BW,52176,52176,3455.6,0,238,49.31
ZW,51506,51506,2902.95,0,202,38.98
BS,48617,48617,2648.12,0,196,43.2
CU,48279,48279,2617.85,0,195,60.24
MR,47917,47917,2004.5,0,150,32.74
LU,46783,46783,1987.85,0,152,29.69
BB,46004,46004,2526.9,0,197,40.2
IR,44183,44183,2285.62,0,186,45
CM,43510,43510,2001.32,0,165,33.11
TM,43200,43200,2128.93,10,177,30.19
TG,40396,40396,2267.22,0,202,49.11
EH,40011,40011,2192.73,0,197,39.01
GF,38127,38127,2281.98,0,215,42.63
MG,37727,37727,1871.03,0,178,35.18
CD,36844,36844,1656.55,0,161,36.66
MO,35648,35648,1740.92,0,175,39.53
GP,32525,32525,1877.97,0,207,42.23
GM,30363,30363,1508.13,0,178,32.83
YT,29105,29105,1528.03,0,189,37.27
LC,25591,25591,1720.18,0,241,58.18
GD,24020,24020,1522.2,0,228,52.800000000000004
MQ,23180,23180,1339.43,0,208,42.24
GU,22578,22578,1155.78,0,184,34.89
VC,22388,22388,1368.25,0,220,51.71
BF,22030,22030,998.1,0,163,33.38
NC,21841,21841,1163.03,0,191,35.78
PF,20309,20309,1289.63,0,228,51.28
PG,19887,19887,960.88,0,173,36.8
CV,19705,19705,1018.53,0,186,39.73
WS,19077,19077,883.7,0,166,31.69
BJ,18833,18833,944.53,0,180,34.54
CW,12999,12999,979.07,0,271,59.24
SZ,12232,12232,617.15,0,181,35.82
IS,10803,10803,981.3,0,327,71.38
DJ,10596,10596,424.18,0,144,30.159999999999997
DM,10578,10578,556.78,0,189,47.82
AG,10292,10292,754.18,0,263,62.71
