insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,1826,11306,371,2.75,1826
SUBSCRIBER,202836,740106,218,2.7,202836
YT_CHANNEL,3952,8298,125,1.55,3952
YT_SEARCH,2212,6440,174,6.5,2212
RELATED_VIDEO,640989,1638856,153,5.52,640989
YT_OTHER_PAGE,77768,232350,179,19.81,77768
EXT_URL,152,507,200,2.37,152
PLAYLIST,2300,3758,98,6.16,2300
NOTIFICATION,9799,16387,100,3.54,9799
END_SCREEN,2,13,412,90.95,2
SHORTS,1,0,25,0,1
HASHTAGS,12,17,89,14.249999999999998,12
LIVE_REDIRECT,5,16,203,0.76,5
IMMERSIVE_LIVE,1,0,12,0,1
