insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,12537009,45897635,219,12.839999999999998,12537009
ADVERTISING,4610728,6662040,86,16.05,4610728
SUBSCRIBER,151239511,446572225,177,5.24,151239511
YT_CHANNEL,6324842,11734088,111,1.58,6324842
YT_SEARCH,73786392,203066180,165,14.01,73786392
GOOGLE_SEARCH,11,0,0,0,11
RELATED_VIDEO,408268867,1415724965,208,2.12,408268867
YT_OTHER_PAGE,66681382,192872662,173,14.93,66681382
EXT_URL,457990,1197930,156,3.6000000000000005,457990
NO_LINK_EMBEDDED,26,23,156,48.46,26
ANNOTATION,608998,983266,96,21.11,608998
PLAYLIST,24442038,23661068,58,10.52,24442038
EXT_APP,1,5,323,100,1
NOTIFICATION,1354982,2500879,110,0.89,1354982
CAMPAIGN_CARD,7,24,212,1.66,7
END_SCREEN,7652142,21525810,168,30.7,7652142
SHORTS,33490,11172,20,11.86,33490
PRODUCT_PAGE,264,370,84,0.15,264
HASHTAGS,50824,98466,116,12.25,50824
SOUND_PAGE,3,4,97,0.35,3
LIVE_REDIRECT,227,2158,570,3,227
IMMERSIVE_LIVE,1,0,12,0,1
